SUMLEV,CBSA,MDIV,NAME,LSAD,YEAR,POPESTIMATE,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE1824_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT
314,35620,35614,"New York-Jersey City-White Plains, NY-NJ",Metropolitan Division,4,11935758,676351,1239069,555295,966008,3512565,2991550,1994920
314,37980,15804,"Camden, NJ",Metropolitan Division,4,1297517,70367,140955,69291,107703,340936,344565,223700
314,37980,33874,"Montgomery County-Bucks County-Chester County, PA",Metropolitan Division,4,2057239,104461,218821,109975,167206,508802,555478,392496
314,37980,37964,"Philadelphia, PA",Metropolitan Division,4,2142709,125539,231420,101372,211992,651605,489739,331042
314,37980,48864,"Wilmington, DE-MD-NJ",Metropolitan Division,4,745281,40922,80404,38739,65052,198097,193342,128725
314,41860,36084,"Oakland-Fremont-Berkeley, CA",Metropolitan Division,4,2785278,145426,290345,139854,219394,813807,724587,451865
314,41860,41884,"San Francisco-San Mateo-Redwood City, CA",Metropolitan Division,4,1536703,69647,125668,58409,102272,502364,400368,277975
314,41860,42034,"San Rafael, CA",Metropolitan Division,4,256154,11263,24593,13728,18012,51753,75528,61277
314,42660,21794,"Everett, WA",Metropolitan Division,4,840452,50181,93628,42315,60458,256468,212697,124705
314,42660,42644,"Seattle-Bellevue-Kent, WA",Metropolitan Division,4,2265311,117092,223187,100636,181800,775610,547219,319767
314,42660,45104,"Tacoma-Lakewood, WA",Metropolitan Division,4,926479,55560,109734,48160,79764,277282,218710,137269
314,45300,41304,"St. Petersburg-Clearwater-Largo, FL",Metropolitan Division,4,961792,36934,74381,36763,61034,227701,271092,253887
314,45300,45294,"Tampa, FL",Metropolitan Division,4,2329549,124785,249206,116481,194247,636083,592542,416205
314,47900,11694,"Arlington-Alexandria-Reston, VA-WV",Metropolitan Division,4,3137244,188390,374527,178015,259429,901273,812593,423017
314,47900,23224,"Frederick-Gaithersburg-Bethesda, MD",Metropolitan Division,4,1340607,76855,155487,74135,104442,350435,355051,224202
314,47900,47764,"Washington, DC-MD",Metropolitan Division,4,1788040,106540,188388,79854,164986,560451,434997,252824
314,12060,12054,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Division,3,4802782,283626,584385,284517,438296,1350911,1240193,620854
314,12060,31924,"Marietta, GA",Metropolitan Division,3,1356914,77442,160461,79600,117822,375777,361436,184376
314,14460,14454,"Boston, MA",Metropolitan Division,3,2032044,101861,191461,93066,208819,592096,516433,328308
314,14460,15764,"Cambridge-Newton-Framingham, MA",Metropolitan Division,3,2424622,125063,245011,116230,225697,670117,639589,402915
314,14460,40484,"Rockingham County-Strafford County, NH",Metropolitan Division,3,449794,20311,41739,21406,41135,111687,130247,83269
314,16980,16984,"Chicago-Naperville-Schaumburg, IL",Metropolitan Division,3,7171445,399339,794853,379043,609507,2050330,1821766,1116607
314,16980,20994,"Elgin, IL",Metropolitan Division,3,751789,43960,93730,47304,76298,193252,191664,105581
314,16980,29404,"Lake County, IL",Metropolitan Division,3,712570,38244,85917,44041,72807,171979,191252,108330
314,16980,29414,"Lake County-Porter County-Jasper County, IN",Metropolitan Division,3,720793,40205,83515,41017,60476,181615,187281,126684
314,19100,19124,"Dallas-Plano-Irving, TX",Metropolitan Division,3,5228482,333833,668711,313734,480048,1542669,1285608,603879
314,19100,23104,"Fort Worth-Arlington-Grapevine, TX",Metropolitan Division,3,2546165,161817,333267,157051,233135,721278,622406,317211
314,19820,19804,"Detroit-Dearborn-Livonia, MI",Metropolitan Division,3,1774807,112725,212175,96722,147208,468842,450845,286290
314,19820,47664,"Warren-Troy-Farmington Hills, MI",Metropolitan Division,3,2594476,133706,267317,133073,203881,663151,723899,469449
314,31080,11244,"Anaheim-Santa Ana-Irvine, CA",Metropolitan Division,3,3160611,169912,340617,165259,277209,866867,843668,497079
314,31080,31084,"Los Angeles-Long Beach-Glendale, CA",Metropolitan Division,3,9809462,512316,1052823,488921,851807,2938473,2520650,1444472
314,33100,22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Metropolitan Division,3,1935575,104856,203443,95579,145009,514527,530600,341561
314,33100,33124,"Miami-Miami Beach-Kendall, FL",Metropolitan Division,3,2669748,144501,266825,124712,217701,726459,738111,451439
314,33100,48424,"West Palm Beach-Boca Raton-Delray Beach, FL",Metropolitan Division,3,1503435,73298,141739,68266,110666,350491,388829,370146
314,35620,29484,"Lakewood-New Brunswick, NJ",Metropolitan Division,3,2505204,143102,279765,135167,209437,603948,677589,456196
314,35620,35004,"Nassau County-Suffolk County, NY",Metropolitan Division,3,2925624,154856,311430,153671,254917,709181,822848,518721
314,35620,35084,"Newark, NJ",Metropolitan Division,3,2213071,126386,250626,118612,186169,574179,609777,347322
314,35620,35614,"New York-Jersey City-White Plains, NY-NJ",Metropolitan Division,3,12077293,706664,1272493,561333,970224,3567180,3046877,1952522
314,37980,15804,"Camden, NJ",Metropolitan Division,3,1293164,69839,141765,68908,108222,337437,349517,217476
314,37980,33874,"Montgomery County-Bucks County-Chester County, PA",Metropolitan Division,3,2052585,104556,221473,110081,168377,505097,563592,379409
314,37980,37964,"Philadelphia, PA",Metropolitan Division,3,2166515,129124,236921,101453,214895,657783,501280,325059
314,37980,48864,"Wilmington, DE-MD-NJ",Metropolitan Division,3,741130,40597,80890,38223,64566,196419,195917,124518
314,41860,36084,"Oakland-Fremont-Berkeley, CA",Metropolitan Division,3,2807988,149706,298936,140194,216956,827528,734793,439875
314,41860,41884,"San Francisco-San Mateo-Redwood City, CA",Metropolitan Division,3,1551084,72639,129747,58758,98107,512202,407761,271870
314,41860,42034,"San Rafael, CA",Metropolitan Division,3,259278,11403,25754,13937,17955,53069,77129,60031
314,42660,21794,"Everett, WA",Metropolitan Division,3,836097,50421,94619,42229,61085,251496,215968,120279
314,42660,42644,"Seattle-Bellevue-Kent, WA",Metropolitan Division,3,2252980,119958,228023,99799,173331,768198,552578,311093
314,42660,45104,"Tacoma-Lakewood, WA",Metropolitan Division,3,927402,56832,111124,47466,81099,275585,221664,133632
314,45300,41304,"St. Petersburg-Clearwater-Largo, FL",Metropolitan Division,3,959583,37707,75924,36633,61225,225273,274607,248214
314,45300,45294,"Tampa, FL",Metropolitan Division,3,2270491,122009,245116,112492,190077,614783,582538,403476
